cores,input,average_runtime,speedup,efficiency,mem_ram,freq_mem,freq_cpu,mem_l3
32,0,2.0581196546554565,7.393597385286409,0.23104991829020027,128,2133,2.3,40
31,0,2.0744532346725464,7.3353825687322125,0.23662524415265201,128,2133,2.3,40
30,0,2.099972367286682,7.246242062188899,0.2415414020729633,128,2133,2.3,40
29,0,2.1189838647842407,7.181228866420164,0.2476285816006953,128,2133,2.3,40
28,0,2.156233787536621,7.057169860347859,0.25204178072670924,128,2133,2.3,40
27,0,2.184584856033325,6.96558344036924,0.2579845718655274,128,2133,2.3,40
26,0,2.2174404859542847,6.8623749740541475,0.2639374990020826,128,2133,2.3,40
25,0,2.237714171409607,6.800201871931454,0.27200807487725814,128,2133,2.3,40
24,0,2.266378879547119,6.714194274660678,0.2797580947775283,128,2133,2.3,40
23,0,2.302902340888977,6.607708814692094,0.28729168759530843,128,2133,2.3,40
22,0,2.3118488788604736,6.582137888168395,0.29918808582583617,128,2133,2.3,40
21,0,2.355682611465454,6.459659728014385,0.3076028441911612,128,2133,2.3,40
20,0,2.393830180168152,6.356719964236668,0.3178359982118334,128,2133,2.3,40
19,0,2.4375617504119873,6.242675942340845,0.3285618917021497,128,2133,2.3,40
18,0,2.4884227514266968,6.115081566644085,0.3397267537024492,128,2133,2.3,40
17,0,2.545081853866577,5.978946442979463,0.3517027319399684,128,2133,2.3,40
16,0,2.609423518180847,5.831521020349958,0.36447006377187235,128,2133,2.3,40
15,0,2.6795064210891724,5.678996690398579,0.37859977935990524,128,2133,2.3,40
14,0,2.7659772634506226,5.5014581277807375,0.39296129484148123,128,2133,2.3,40
13,0,2.8641728162765503,5.312845653304281,0.40868043486956007,128,2133,2.3,40
12,0,2.978002905845642,5.109769391895914,0.4258141159913262,128,2133,2.3,40
11,0,3.095806837081909,4.915328668118883,0.44684806073808025,128,2133,2.3,40
10,0,3.210331082344055,4.739980926252745,0.4739980926252745,128,2133,2.3,40
9,0,3.3530795574188232,4.5381888012764655,0.5042432001418296,128,2133,2.3,40
8,0,3.5190881490707397,4.324105408182335,0.5405131760227919,128,2133,2.3,40
7,0,3.698288321495056,4.114581334511967,0.5877973335017096,128,2133,2.3,40
6,0,4.027629613876343,3.7781299563496415,0.6296883260582736,128,2133,2.3,40
5,0,4.496443867683411,3.3842095097935636,0.6768419019587127,128,2133,2.3,40
